タイトル,メーカー,発売日,ジャンル,価格,備考,所持
アークススピリッツ,サミー,34264,アクションRPG,8900,－,×
アースライト,ハドソン,33809,シミュレーション,8500,－,×
アースライト ルナ・ストライク,ハドソン,35272,シミュレーション,7980,－,×
アースワーム・ジム,タカラ,34873,アクション,9800,－,×
機甲警察メタルジャック,アトラス,33816,アクション,8800,－,×
R-TYPEIII,アイレム,34313,シューティング,9800,－,×
R.P.M.Racing,ビクターエンタテインメント,33682,レース,8800,－,×
RPGツクール SUPER DANTE,アスキー,34789,その他,9800,－,×
RPGツクール2,アスキー,35095,その他,12800,－,×
アイアンコマンドー,ポッポ,34740,アクション,9800,－,×
アイ・オブ・ザ・ビホルダー,カプコン,34411,RPG,12800,－,×
アウター・ワールド,ビクターエンタテインメント,33935,アクション,8800,－,×
蒼き伝説 シュート!,KSS,34684,スポーツ,10800,－,×
赤ずきんチャチャ,トミー,35286,RPG,7800,－,×
アクションパチ夫,ココナッツジャパンエンターテイメント,34068,アクション,9500,－,×
アクスレイ,コナミ,33858,シューティング,8800,－,×
アクセルブリッド,トミー,34299,アクション,9800,－,×
アクタリオン,テクモ,34278,RPG,8900,－,×
アクトレイザー,エニックス,33223,アクション,8000,－,×
アクトレイザー2 沈黙への聖戦,エニックス,34271,アクション,9300,－,×
悪魔城ドラキュラ,コナミ,33542,アクション,8800,－,×
悪魔城ドラキュラXX,コナミ,34901,アクション,9800,－,×
アクロバットミッション,テイチク,33858,シューティング,8800,－,×
朝日新聞連載 加藤一二三九段将棋 心技流,バリエ,34964,テーブル,12300,－,×
あさめしまえにゃんこ,バンプレスト、ザムス,34411,テーブル,8800,－,×
あしたのジョー,ケイ・アミューズメントリース,33935,スポーツ,8900,－,×
アダムスファミリー,ミサワエンターテインメント,33900,アクション,8800,－,×
アップルシード,ヴィジット,34572,アクション,9800,－,×
アニマニアクス,コナミ,35496,アクション,5800,－,×
アニマル武乱伝～ブルータル～,ケムコ,34690,対戦格闘,9800,－,×
アメージングテニス,パック・イン・ビデオ,33956,スポーツ,8800,－,×
アメリカ横断ウルトラクイズ,トミー,33928,その他,8700,－,×
アメリカン バトルドーム,ツクダオリジナル,35041,アクション,9800,－,×
あらいぐま ラスカル,日本コンピュータシステム,34418,パズル,8900,－,×
アラジン,カプコン,34299,アクション,9000,－,×
アラビアンナイト,タカラ,35230,RPG,7800,－,×
アリスのペイントアドベンチャー,エポック社,34957,アドベンチャー,8800,－,×
アリョール,アルトロン,34551,パズル,9800,－,×
アルカエスト,スクウェア,34320,アクション,8800,－,×
アルカノイド -Doh It Again-,タイトー,35445,アクション,4980,－,×
アルディライトフット,アスキー,34299,アクション,9800,－,×
アルバートオデッセイ,サンソフト,34033,RPG,9600,－,×
アルバートオデッセイ2,サンソフト,34690,シミュレーション,9980,－,×
アレサ,やのまん,34299,RPG,9800,－,×
アレサII,やのまん,34670,RPG,9900,－,×
アンジェリーク,光栄,34600,シミュレーション,9800,－,×
アンジェリーク ヴォイス・ファンタジー,光栄,35153,シミュレーション,9800,－,×
アンジェリーク プレミアムBOX,光栄,35041,シミュレーション,9800,－,×
アンダーカバーコップス,バリエ,34761,アクション,9800,－,×
アンドレ・アガシ テニス,日本物産,34424,スポーツ,8800,－,×
イースIII ワンダラーズ フロム イース,トンキンハウス,33410,アクションRPG,8800,－,×
イースIV～Mask of The Sun～,トンキンハウス,34292,アクションRPG,9800,－,×
イースV 失われた砂の都ケフィン,日本ファルコム,35062,アクションRPG,12800,－,×
イースV エキスパート,光栄,35146,アクションRPG,11800,－,×
イーハトーヴォ物語,ヘクト,34033,アドベンチャー,9700,－,×
怒りの要塞,ジャレコ,34082,アクション,8700,－,×
囲碁倶楽部,ヘクト,35090,テーブル,12800,－,×
磯釣り 離島編,パック・イン・ビデオ,1996-01-19 00:00:00,スポーツ,10800,廉価版：1996/8/30、\5980,×
いただきストリート2,エニックス,1994-02-26 00:00:00,テーブル,9800,廉価版：1997/9/26、\5900,×
一発逆転!! 競馬・競輪・競艇,POW,35181,その他,9800,－,×
イデアの日,ショウエイシステム,34411,RPG,9700,－,×
糸井重里のバス釣りNo.1,任天堂,35482,スポーツ,7800,－,×
伊藤果六段の将棋道場,アスク講談社,34369,テーブル,9600,－,×
稲妻サーブだ!スーパービーチバレー,ヴァージンインタラクティブエンターテインメント,34915,スポーツ,9800,－,×
イルバニアンの城,日本クラリービジネス,34635,シミュレーション,9980,－,×
インターナショナル・テニスツアー,マイクロワールド,34054,スポーツ,8900,－,×
インディ・ジョーンズ,ビクターエンタテインメント,34908,アクション,10800,－,×
ウィザードリィI・II・III ～Story of Llylgamyn～,メディアファクトリー,36312,RPG,3000,ニンテンドーパワー専用,×
ウィザードリィV,アスキー,33928,RPG,9800,－,×
ウィザードリィVI,アスキー,34971,RPG,12800,－,×
ウィザードリィ・外伝IV～胎魔の鼓動～,アスキー,35328,RPG,8000,－,×
ウィザップ!,アスキー,34599,RPG,9900,－,×
ウイニングポスト,光栄,34222,その他,12800,－,×
ウイニングポスト2,光栄,34776,その他,12800,－,×
ウイニングポスト2 プログラム'96,光栄,35342,その他,9800,－,×
ウイングコマンダー,アスキー,34173,シューティング,9800,－,×
ウェディングピーチ,KSS,34971,その他,9800,－,×
ヴェルヌ・ワールド,バンプレスト,34971,RPG,11800,－,×
ウォーリーをさがせ!絵本の国の大冒険,トミー,34019,アドベンチャー,9500,－,×
ウォーロック,アクレイム ジャパン,34845,アクション,10900,－,×
ヴォルテックス,パック・イン・ビデオ,34677,シューティング,9900,－,×
うしおととら,ユタカ,33994,アクション,8800,－,×
宇宙の騎士テッカマンブレード,ベック,34180,アクション,8800,－,×
宇宙レース アストロゴー!ゴー!,メルダック,34390,レース,9800,－,×
海釣り名人～スズキ編～,エレクトロニック・アーツ・ビクター,1994-12-16 00:00:00,スポーツ,9800,廉価版：1996/12/20、\6500,×
海のぬし釣り,パック・イン・ビデオ,35265,スポーツ,7800,－,×
海腹川背,TNN,34691,アクション,9800,－,×
ウルヴァリン,アクレイム ジャパン,34726,アクション,10900,－,×
ウルティマVI,ポニーキャニオン,33697,RPG,9800,－,×
ウルティマVII ザ・ブラックゲート,ポニーキャニオン,34656,RPG,9800,－,×
ウルティマ外伝,エレクトロニック・アーツ・ビクター,34502,RPG,9800,－,×
ウルティマ恐竜帝国,ポニーキャニオン,34908,RPG,9800,－,×
ウルティメイトフットボール,サミー,33809,スポーツ,8700,－,×
ウルトラセブン,バンダイ,34054,対戦格闘,8800,－,×
ウルトラベースボール実名版,マイクロアカデミー,33844,スポーツ,8800,－,×
ウルトラベースボール実名版2,カルチャーブレーン,34690,スポーツ,9800,－,×
ウルトラベースボール実名版3,カルチャーブレーン,34999,スポーツ,9800,－,×
ウルトラマン,バンダイ,33334,対戦格闘,7800,－,×
ウルトラリーグ,ユタカ,34908,スポーツ,9800,－,×
ウルフェンシュタイン3D,イマジニア,34375,アクション,9800,－,×
エアーマネジメント・大空に賭ける,光栄,33699,シミュレーション,11800,－,×
エアーマネジメントII 航空王をめざせ,光栄,34061,シミュレーション,12800,－,×
永遠のフィレーナ,徳間書店インターメディア,34755,RPG,9800,－,×
エイリアン3,アクレイム ジャパン,34159,アクション,8800,－,×
エイリアンVSプレデター,アイ・ジー・エス,33977,アクション,9800,－,×
AIII S.V.,パック・イン・ビデオ,34971,シミュレーション,10800,－,×
エースをねらえ!,日本テレネット,34325,スポーツ,9400,－,×
ABCマンデーナイトフットボール,データイースト,34299,スポーツ,9000,－,×
エキゾースト・ヒート,セタ,33655,レース,8900,－,×
エキゾースト・ヒート F1ドライバーへの軌跡,セタ,34033,レース,9800,－,×
SD F-1グランプリ,ビデオシステム,34999,レース,10900,－,×
SDガンダムX,ユタカ,33865,シミュレーション,9500,－,×
SDガンダム外伝2 円卓の騎士,ユタカ,33956,RPG,9500,－,×
SDガンダム外伝 ナイトガンダム物語,エンジェル,33593,RPG,9500,－,×
SDガンダムGX,バンダイ,34481,シミュレーション,9800,－,×
SDガンダム GNEXT,バンダイ,35055,シミュレーション,12800,－,×
SDガンダム GNEXT専用ロムパック ユニット&マップコレクション,バンダイ,35153,その他,3800,－,×
SDガンダム Power Formation Puzzle,バンダイ,35090,パズル,8800,－,×
SD機動戦士ガンダム2,エンジェル,34235,アクション,8800,－,×
SD機動戦士ガンダム V作戦始動,エンジェル,33859,アクション,7800,－,×
SDザ・グレイトバトル,バンプレスト,33236,アクション,8200,－,×
S.T.G.,アテナ,33690,シューティング,8900,－,×
SD飛龍の拳,カルチャーブレーン,34502,対戦格闘,9800,－,×
エストポリス伝記,タイトー,34145,RPG,8900,－,×
エストポリス伝記II,タイトー,34754,RPG,9980,－,×
エスパークス 異次空からの来訪者,トミー,34789,アクション,9500,－,×
X-MEN,カプコン,34702,アクション,9980,－,×
エドノキバ,マイクロワールド,34040,アクション,8900,－,×
エナジーブレイカー,タイトー,35272,シミュレーション,7980,－,×
NHL プロホッケー'94,エレクトロニック・アーツ・ビクター,34432,スポーツ,9800,－,×
NFL クォーターバッククラブ'95,アクレイム ジャパン,34754,スポーツ,11800,－,×
NFL クォーターバッククラブ'96,アクレイム ジャパン,35125,スポーツ,11800,－,×
NFLフットボール,コナミ,34229,スポーツ,9000,－,×
NFL プロフットボール'94,エレクトロニック・アーツ・ビクター,34327,スポーツ,9800,－,×
NBAオールスターチャレンジ,アクレイム ジャパン,34110,スポーツ,8800,－,×
NBA実況バスケットウイニングダンク,コナミ,34971,スポーツ,10800,－,×
NBA JAM,アクレイム ジャパン,34453,スポーツ,9800,－,×
NBA JAM トーナメントエディション,アクレイム ジャパン,34754,スポーツ,11800,－,×
NBAプロバスケットボール'94,エレクトロニック・アーツ・ビクター,34306,スポーツ,9800,－,×
NBAプロバスケットボールブルズVSブレイザーズ,エレクトロニック・アーツ・ビクター,34026,スポーツ,8900,－,×
NBA LIVE'95,エレクトロニック・アーツ・ビクター,34684,スポーツ,9800,－,×
F-15スーパーストライクイーグル,アスミック,34299,シミュレーション,9600,－,×
F-ZERO,任天堂,33198,レース,7000,－,×
F-1 GRAND PRIX,ビデオシステム,33722,レース,9700,－,×
F-1 GRAND PRIX PARTII,ビデオシステム,34026,レース,9800,－,×
F-1 GRAND PRIX PARTIII,ビデオシステム,34446,レース,9900,－,×
エミット バリューセット,光栄,35048,その他,19800,－,×
エミット vol.1,光栄,34783,その他,11800,ボイサーくんセット：\14800,×
エミット vol.2,光栄,34783,その他,11800,ボイサーくんセット：\14800,×
エミット vol.3,光栄,34783,その他,11800,ボイサーくんセット：\14800,×
MVPベースボール,アクレイム ジャパン,34208,スポーツ,8800,－,×
エメラルドドラゴン,メディアワークス,34908,RPG,9800,－,×
エリア88,カプコン,33445,シューティング,8500,－,×
エルナード,ゲームプラン21,34082,RPG,9600,－,×
エルファリア,ハドソン,33972,RPG,9500,－,×
エルファリアII,ハドソン,34859,RPG,9980,－,×
お絵かきロジック,世界文化社,36312,パズル,2000,ニンテンドーパワー専用,×
お絵かきロジック2,世界文化社,36465,パズル,2000,ニンテンドーパワー専用,×
大相撲魂,タカラ,33949,スポーツ,9000,－,×
おーちゃんのお絵かきロジック,サンソフト,35034,パズル,6980,－,×
大仁田厚「FMW」,ポニーキャニオン,34187,スポーツ,9800,－,×
大物ブラックバスフィッシング人造湖編,アクレイム ジャパン,34880,スポーツ,12800,－,×
岡本綾子とマッチプレイゴルフ,ツクダオリジナル,34689,スポーツ,9700,－,×
押忍!! 空手部,カルチャーブレーン,34572,対戦格闘,10800,－,×
オセロワールド,ツクダオリジナル,33699,テーブル,8700,－,×
織田信長 覇王の軍団,エンジェル,34026,シミュレーション,9500,－,×
おでかけレスタ～れれれのれ,アスミック,34593,アクション,8900,－,×
弟切草,チュンソフト,33670,アドベンチャー,8800,－,×
おとぼけ忍者コロシアム,インテック,34755,アクション,8800,－,×
鬼塚勝也スーパーバーチャルボクシング,ソフエル,34299,スポーツ,9800,－,×
おらがランド主催 ベストファーマー収穫祭,ビック東海,34775,パズル,7800,－,×
オリビアのミステリー,アルトロン,34369,パズル,9800,－,×
音楽ツクール かなでーる,アスキー,35167,その他,9980,－,×
カードマスター,HAL研究所,33690,RPG,8900,－,×
カービィのきらきらきっず,任天堂,36336,パズル,4200,－,×
カービィボウル,任天堂,34598,アクション,7900,－,×
ガイア幻想紀,エニックス,34300,アクションRPG,9800,－,×
ガイアセイバー,バンプレスト,34362,RPG,9800,－,×
描いて・作って・遊べる デザエモン,アテナ,34597,その他,12900,－,×
カオスシード,タイトー,35139,シミュレーション,9980,－,×
化学者ハリーの波乱万丈,アルトロン,34635,アクション,8900,－,×
柿木将棋,アスキー,34943,テーブル,12800,－,×
CACOMA KNIGHT,データム・ポリスター,33929,パズル,7800,－,×
柏木重孝のトップウォーターバッシング,バップ,34747,スポーツ,14800,－,×
課長 島耕作 スーパービジネスアドベンチャー,ユタカ,34229,アドベンチャー,9800,－,×
学校であった怖い話,バンプレスト,34915,アドベンチャー,11800,－,×
ガデュリン,セタ,33386,RPG,8800,－,×
加藤一二三九段 将棋倶楽部,ヘクト,35566,テーブル,4980,－,×
歌舞伎町リーチ麻雀 東風戦,ポニーキャニオン,34530,テーブル,8800,－,×
カブキロックス,アトラス,34397,RPG,9800,－,×
かまいたちの夜,チュンソフト,34663,アドベンチャー,10800,－,×
ガメラ ギャオス撃滅作戦,サミー,34880,シミュレーション,9980,－,×
仮面ライダー,バンダイ,34285,アクション,9800,－,×
仮面ライダーSD,ユタカ,34159,アクション,8800,－,×
カリフォルニアゲームズII,ヘクト,34040,アクション,8800,－,×
迦楼羅王,エピック・ソニーレコード,34383,アクション,8900,－,×
餓狼伝説,タカラ,33935,対戦格闘,9800,－,×
餓狼伝説2,タカラ,34299,対戦格闘,9980,－,×
餓狼伝説SPECIAL,タカラ,34544,対戦格闘,10900,－,×
川のぬし釣り2,パック・イン・ビデオ,1995-04-28 00:00:00,スポーツ,10800,廉価版：1996/8/30、\5980,×
ガンガンガンチャン,マジファクト,34999,アクション,8800,－,×
元祖パチスロ日本一,ココナッツジャパンエンターテイメント,34663,テーブル,9980,－,×
元祖パチンコ王,ココナッツジャパンエンターテイメント,34690,テーブル,9980,－,×
ガンハザード,スクウェア,35118,アクション,11400,－,×
がんばれゴエモン ゆき姫救出絵巻,コナミ,33438,アクション,8800,－,×
がんばれゴエモン2,コナミ,34325,アクション,9800,－,×
がんばれゴエモン3,コナミ,34684,アクション,9800,－,×
がんばれゴエモン きらきら道中,コナミ,35055,アクション,9980,－,×
がんばれ大工の源さん,アイレム,34325,アクション,8900,－,×
ガンフォース,アイレム,33935,アクション,8300,－,×
ガンプル,アスキー,35461,アクションRPG,8000,－,×
キーパー,データム・ポリスター,34530,パズル,7200,－,×
祇園花,日本物産,34684,テーブル,7980,－,×
奇々怪界-月夜草子-,ナツメ,34502,アクション,9500,－,×
奇々怪界-謎の黒マント-,ナツメ,33960,アクション,8500,－,×
喜国雅彦の雀闘士 銅鑼王,POW,34019,テーブル,8900,－,×
喜国雅彦の雀闘士 銅鑼王2,POW,34306,テーブル,8900,－,×
鬼神降臨伝ONI,バンプレスト,34551,RPG,9800,－,×
鬼神童子ZENKI 電影雷舞,ハドソン,35027,アクション,9980,－,×
鬼神童子ZENKI 天地鳴動,ハドソン,35118,テーブル,9980,－,×
鬼神童子ZENKI 烈闘雷伝,ハドソン,34915,アクション,9800,－,×
キッドクラウンのクレイジーチェイス,ケムコ,34628,アクション,8800,－,×
キテレツ大百科 超時空すごろく,ビデオシステム,34726,テーブル,8900,－,×
機動警察パトレイバー,ベック,34446,シミュレーション,9800,－,×
機動戦士ガンダムF91,バンダイ,33425,シミュレーション,9500,－,×
機動戦士ガンダム クロスディメンション0079,バンダイ,34740,シミュレーション,9800,－,×
機動戦士Zガンダム,バンダイ,35125,シミュレーション,11800,－,×
機動戦士Vガンダム,バンダイ,34404,アクション,9800,－,×
機動装甲ダイオン,ビック東海,33952,シューティング,8500,－,×
機動武闘伝Gガンダム,バンダイ,34695,対戦格闘,9800,－,×
キャスパー,KSS,35503,アクション,4980,－,×
KAT'S RUN 全日本Kカー選手権,アトラス,34894,レース,10800,－,×
キャプテンコマンドー,カプコン,34775,アクション,9800,－,×
キャプテン翼III,テクモ,33802,スポーツ,8900,－,×
キャプテン翼IV プロのライバルたち,テクモ,34062,スポーツ,9700,－,×
キャプテン翼V 覇者の称号カンピオーネ,テクモ,34677,スポーツ,9980,－,×
キャプテン翼J,バンダイ,35020,スポーツ,9800,－,×
キャメルトライ,タイトー,33781,アクション,8500,－,×
ギャラクシーウォーズ,イマジニア,34712,シューティング,5980,－,×
ギャラクシーロボ,イマジニア,34404,シミュレーション,9800,－,×
キャラバンシューティングコレクション,ハドソン,34887,シューティング,6800,－,×
キャリアエース,ユーメディア,34908,シミュレーション,12800,－,×
ギャンブル放浪記,バップ,35146,テーブル,8500,－,×
96全国高校サッカー選手権,魔法,35146,スポーツ,7800,－,×
Q*bert3,バップ,33998,パズル,7000,－,×
旧約・女神転生,アトラス,34789,RPG,10800,－,×
ぎゅわんぶらあ自己中心派,パルソフト,33872,テーブル,8800,－,×
ぎゅわんぶらあ自己中心派2,パック・イン・ビデオ,34411,テーブル,8900,－,×
京楽・三洋・豊丸 Parlor!パーラー!,日本テレネット,34788,テーブル,11800,－,×
京楽・三洋・豊丸・大一・マルホン Parlor!パーラー!2,日本テレネット,1995-08-25 00:00:00,テーブル,11800,廉価版：1996/10/25、\6980,×
京楽・三洋・豊丸・奥村・太陽 Parlor!パーラー!3,日本テレネット,1996-01-19 00:00:00,テーブル,11800,廉価版：1996/10/25、\6980,×
京楽・三洋・豊丸・奥村・大一・マルホン Parlor!パーラー!IVCR,日本テレネット,1995-12-29 00:00:00,テーブル,11800,廉価版：1996/1/19、\6980,×
京楽・三洋・マルホン Parlor!パーラー!5,日本テレネット,1996-03-29 00:00:00,テーブル,11800,廉価版：1996/10/25、\6980,×
銀河英雄伝説,徳間書店インターメディア,33872,シミュレーション,9800,－,×
銀河戦国群雄伝 ライ,エンジェル,35132,シミュレーション,10800,－,×
きんぎょ注意報!とびだせ!ゲーム学園,ジャレコ,34411,その他,9800,－,×
キング・オブ・ザ・モンスターズ,タカラ,33816,アクション,8800,－,×
キング・オブ・ザ・モンスターズ2,タカラ,34325,アクション,9800,－,×
近代麻雀スペシャル,イマジニア,1995-03-31 00:00:00,テーブル,9800,廉価版：1996/12/6、廉価版：\5980,×
銀玉親方の実戦パチンコ必勝法,サミー,34747,テーブル,10500,－,×
キン肉マン DIRTY CHALLENGER,ユタカ,33837,対戦格闘,7800,－,×
空想科学世界ガリバーボーイ,バンダイ,35244,アクションRPG,7800,－,×
グーフィーとマックス 海賊島の大冒険,カプコン,34537,アクション,7800,－,×
クールスポット,ヴァージンゲーム,34313,アクション,8900,－,×
グール・パトロール,ビクターエンタテインメント,34845,アクション,8800,－,×
Cu-On-Pa SFC,T&Eソフト,35419,パズル,6800,－,×
くにおくんのドッジボールだよ全員集合!,テクノスジャパン,34187,スポーツ,9600,－,×
くにおのおでん,テクノスジャパン,34481,パズル,6900,－,×
クラシック・ロード,ビクターエンタテインメント,34271,その他,9800,－,×
クラシック・ロードII,ビクターエンタテインメント,34754,その他,12800,－,×
クラッシュ・ダミー,アクレイム ジャパン,34607,アクション,8900,－,×
グラディウスIII,コナミ,33228,シューティング,7800,－,×
グランヒストリア,バンプレスト,34880,RPG,11400,－,×
クリスタルビーンズ フロム ダンジョンエクスプローラー,ハドソン,34999,アクション,9500,－,×
クリスティーワールド,アクレイム ジャパン,33998,アクション,8000,－,×
美食戦隊 薔薇野郎,ヴァージンインタラクティブエンターテインメント,34971,アクション,9800,－,×
クレヨンしんちゃん 嵐を呼ぶ園児,バンダイ,34180,アクション,9500,－,×
クレヨンしんちゃん2 大魔王の逆襲,バンダイ,34481,アクション,6800,－,×
クロックタワー,ヒューマン,34956,アドベンチャー,11400,－,×
クロックワークス,徳間書店,35041,パズル,7800,－,×
クロノ・トリガー,スクウェア,34769,RPG,11400,－,×
ゲームの達人,サンソフト,34922,テーブル,12800,－,×
ゲームの鉄人 THE上海,サンソフト,34985,パズル,9980,－,×
競馬エイトSpecial～マル秘馬券購入術～,ミサワエンターテインメント,34313,その他,9000,－,×
競馬エイトスペシャル2,イマジニア,34607,その他,9980,－,×
競馬予想 馬券錬金術,KSS,34481,その他,9500,－,×
激闘バーニングプロレス,BPS,34978,スポーツ,10800,－,×
激突弾丸自動車決戦 バトルモービル,システムサコム,34145,アクション,8800,－,×
ゲゲゲの鬼太郎,バンダイ,1993-02-05 00:00:00,アクション,8800,復刻版：1996/2/29、\3980,×
決戦!ドカポン王国IV～伝説の勇者たち～,アスミック,34313,テーブル,8900,－,×
月面のアヌビス,イマジニア,35055,アドベンチャー,11800,－,×
けろけろけろっぴの冒険日記,キャラクターソフト,34418,RPG,6980,－,×
幻獣旅団,アクセラ,35947,シミュレーション,2000,ニンテンドーパワー専用,×
拳闘王ワールドチャンピオン,ソフエル,33722,スポーツ,8000,－,×
剣勇伝説ヤイバ,バンプレスト,34418,アクションRPG,9800,－,×
豪血寺一族,アトラス,34621,対戦格闘,10500,－,×
甲子園2,ケイ・アミューズメントリース,33781,スポーツ,8900,－,×
甲子園3,魔法,34544,スポーツ,9800,－,×
甲子園4,魔法,34894,スポーツ,9800,－,×
豪槍神雷伝説「武者」,データム・ポリスター,33715,アクション,8800,－,×
高速思考 将棋皇,イマジニア,1995-03-24 00:00:00,テーブル,12800,廉価版：1996/12/6、\5980,×
鋼鉄の騎士,アスミック,34019,シミュレーション,9800,－,×
鋼鉄の騎士2 砂漠のロンメル軍団,アスミック,34362,シミュレーション,12800,－,×
鋼鉄の騎士3,アスミック,34726,シミュレーション,12800,－,×
攻略カジノバー,日本物産,34894,その他,7800,－,×
項劉記,光栄,34430,シミュレーション,12800,－,×
甲竜伝説ヴィルガスト,バンダイ,33747,RPG,9000,－,×
黄龍の耳,バップ,35055,アクション,9980,－,×
GO GO ACKMAN,バンプレスト,34691,アクション,9000,－,×
GO GO ACKMAN2,バンプレスト,34901,アクション,9500,－,×
GO GO ACKMAN3,バンプレスト,35048,アクション,9800,－,×
GO!GO!ドッジリーグ,パック・イン・ビデオ,34236,スポーツ,7800,－,×
GS美神 除霊師はナイスバディ,バナレックス,34235,アクション,8800,－,×
ゴーストチェイサー 電精,バンプレスト,34600,アクション,9800,－,×
ごきんじょ冒険隊,パイオニアLDC,35209,RPG,7980,－,×
極上パロディウス,コナミ,34663,シューティング,9800,－,×
ゴジラ 怪獣大決戦,東宝,34677,対戦格闘,9980,－,×
コズモギャング ザ パズル,ナムコ,34026,パズル,7900,－,×
コズモギャング ザ ビデオ,ナムコ,33906,シューティング,7900,－,×
コスモポリスギャリバン,日本物産,34131,アクション,8800,－,×
コラムス,メディアファクトリー,36373,パズル,2000,ニンテンドーパワー専用,×
ころんらんど,ユーメディア,34936,アクション,6800,－,×
ゴン,バンダイ,34649,アクション,8800,－,×
魂斗羅スピリッツ,コナミ,33662,アクション,8500,－,×
コンバットライブス,テクノスジャパン,33961,アクション,9300,－,×
コンピュータ脳力解析 ウルトラ馬券,カルチャーブレーン,34845,その他,12800,－,×
紺碧の艦隊,エンジェル,35005,シミュレーション,10800,－,×
サーキットUSA,ヴァージンインタラクティブエンターテインメント,34880,レース,9800,－,×
Xak,サンソフト,34026,アクションRPG,9600,－,×
サージェント・サンダース・コンバット!,アスキー,34971,シミュレーション,12800,－,×
最強～高田延彦～,ハドソン,35060,スポーツ,10900,－,×
サイコドリーム,RIOT,33949,アクション,8900,－,×
サイド・ポケット,データイースト,34411,テーブル,8500,－,×
サイバーナイト,トンキンハウス,33907,RPG,8900,－,×
サイバーナイトII～地球帝国の野望～,トンキンハウス,34572,RPG,9900,－,×
さいばらりえこのまあじゃんほうろうき,タイトー,34740,テーブル,9800,－,×
サイバリオン,東芝EMI,33809,アクション,8600,－,×
サイボーグ009,ベック,34390,アクション,8800,－,×
サウンドノベルツクール,アスキー,35216,その他,8200,－,×
ザ・キングオブドラゴンズ,カプコン,34397,アクション,9800,－,×
ザ・キングオブ・ラリー,メルダック,33966,レース,8800,－,×
桜井章一の雀鬼流麻雀必勝法,サミー,34956,テーブル,9980,－,×
ザ・グレイトバトルII ラストファイターツイン,バンプレスト,33690,アクション,8200,－,×
ザ・グレイトバトルIII,バンプレスト,34054,アクション,8700,－,×
ザ・グレイトバトルIV,バンプレスト,34685,アクション,9600,－,×
ザ・グレイトバトルV,バンプレスト,35055,アクション,9800,－,×
ザ・グレイトバトル外伝2,バンプレスト,34362,アクション,9500,－,×
ざくろの味,イマジニア,35055,アドベンチャー,11800,－,×
3×3EYES 聖魔降臨伝,ユタカ,33813,RPG,9500,－,×
3×3EYES～獣魔奉還～,バンプレスト,35055,アクション,10800,－,×
ザ・心理ゲーム～悪魔のココロジー～,ヴィジット,34054,その他,9800,－,×
ザ・心理ゲーム2～マジカルトリップ～,ヴィジット,34740,その他,8800,－,×
ザ・心理ゲーム3,ヴィジット,34936,その他,9800,－,×
サッカーキッド,やのまん,34331,アクション,8800,－,×
ザ・ニンジャウォーリアーズ～アゲイン～,タイトー,34362,アクション,9300,－,×
ザ・ファイヤーメン,ヒューマン,34586,アクション,9300,－,×
ザ・フリントストーンズ,タイトー,34558,アクション,8500,－,×
ザ ブルークリスタルロッド,ナムコ,34418,アドベンチャー,9800,－,×
The麻雀・闘牌伝,ビデオシステム,34075,テーブル,8900,－,×
サムライスピリッツ,タカラ,34599,対戦格闘,10900,－,×
鮫亀,ハドソン,35125,パズル,8980,－,×
ザ・モノポリーゲーム2,トミー,34789,テーブル,11500,－,×
ザ・ラストバトル,テイチク,34670,RPG,9800,－,×
サラブレッドブリーダー,ヘクト,34208,その他,9700,－,×
サラブレッドブリーダーII,ヘクト,34493,その他,12800,－,×
サラブレッドブリーダーIII,ヘクト,35356,その他,8200,－,×
斬IIスピリッツ,ウルフ・チーム,33753,シミュレーション,9800,－,×
斬IIIスピリッツ,日本テレネット、ウルフ・チーム,34404,シミュレーション,12800,－,×
SANKYO Fever!フィーバー!,日本テレネット,34635,テーブル,9800,－,×
三國志III,光栄,33916,シミュレーション,14800,－,×
三國志IV,光栄,34677,シミュレーション,14800,－,×
三國志英傑伝,光栄,35061,シミュレーション,12800,－,×
三国志正史 天舞スピリッツ,ウルフ・チーム,34145,シミュレーション,12800,－,×
サンサーラ・ナーガ2,ビクターエンタテインメント,34530,RPG,9800,－,×
3次元格闘ボールズ,メディアリング,34817,対戦格闘,9800,－,×
サンスポフィッシング 渓流王,イマジニア,1994-12-22 00:00:00,スポーツ,9980,廉価版：1996/12/6、\5980,×
サンダースピリッツ,東芝EMI,33599,シューティング,8600,－,×
サンダーバード,コブラチーム,34222,アクション,8800,－,×
サンドラの大冒険,ナムコ,33808,アクション,8300,－,×
サンリオ上海,キャラクターソフト,34577,パズル,6980,－,×
サンリオワールドスマッシュボール!,キャラクターソフト,34166,アクション,6980,－,×
ジ・アトラス,パック・イン・ビデオ,34782,シミュレーション,10800,－,×
G.O.D～目覚めよと呼ぶ声が聴こえ～,イマジニア,35419,RPG,7980,－,×
ジーコ サッカー,エレクトロニック・アーツ・ビクター,34397,スポーツ,9800,－,×
G2 ジェノサイド,ケムコ,34551,アクション,9800,－,×
GTレーシング,イマジニア,35153,レース,10800,－,×
CBキャラウォーズ,バンプレスト,33844,アクション,8500,－,×
GP-1,アトラス,34145,レース,8800,－,×
GP-1 RS,アトラス,34656,レース,9800,－,×
シヴィライゼーション 世界七大文明,アスミック,34614,シミュレーション,12800,－,×
JWP女子プロレス ピュア・レッスル・クイーンズ,ジャレコ,34691,スポーツ,9800,－,×
JBザ・スーパーバス,NGP,35048,スポーツ,11800,－,×
